name,country,pyram
Dominik Górny,Poland,1384
Jakub Hibszer,Poland,1347
Tymon Kolasiński,Poland,1323
Martin Vædele Egdal,Denmark,1310
Elvin Thorsen,Sweden,1308
Jasper Murray,New Zealand,1299
Rafał Waryszak,Poland,1291
Aniket Das,India,1286
Theo Skoog,Sweden,1286
Junqi Feng (冯骏骐),China,1277
Joshua Hounslow,Australia,1272
Daniel Wallin,Sweden,1266
Magdalena Pabisz,Poland,1261
Daniel Vædele Egdal,Denmark,1255
Yepeng Sun (孙叶芃),China,1251
Marquez Phan,Australia,1248
William Jensen,Sweden,1246
Elyas Eyou,New Zealand,1242
Diego Alfonso,France,1241
Rasmus Stub Detlefsen,Denmark,1234
Riley Dexter,Australia,1232
Alexey Tsvetkov,Russia,1231
Zayn Khanani,USA,1227
Robin Verstraten,Netherlands,1224
Lucas Buckley,Australia,1224
Jiazhou Li (李佳洲),China,1220
Thomas Schmidt,Denmark,1215
Simon Nilsson,Sweden,1208
Huining Huang (黄徽宁),China,1207
Jonathan Charlesworth,Australia,1207
Yilin Miao (苗宜琳),China,1205
Tobiasz Urbanowicz,Poland,1202
Adam Kędziorski,Poland,1195
Xuyang Chen (陈徐洋),China,1194
Dwyane Ramos,New Zealand,1189
Hassan Khanani,USA,1187
Kasper Pasanen,Finland,1186
Ashley Foster,New Zealand,1184
Sam Sieracki,Australia,1184
Antonie Paterakis,Greece,1182
Jode Brewster,Australia,1178
Yunrui Peng (彭云瑞),China,1176
Jason Harley,United Kingdom,1176
Alwin Rölz,Switzerland,1174
Anton Kraev,Australia,1174
Yinuo Zhao (赵伊诺),China,1171
Olivier van Luijk,Netherlands,1166
Marcus Moberg,Sweden,1165
Cyprian Doza,Poland,1163
Linus Laurén,Finland,1162
Noah Aaron Pearson,Australia,1161
Fanyang Zeng (曾凡洋),China,1160
Sora Sato,Australia,1158
Karina Grandjean Beck,Denmark,1158
Mattheo de Wit,Netherlands,1157
Valeriy Kurbatov,Russia,1157
Dash Cannon,Australia,1156
Yiyun Chen (陈毅昀),China,1156
Yibo Wang (王奕博),China,1156
Xingkai Yin (尹星凯),China,1153
Wesley Allen,Australia,1152
Christian König,Germany,1150
Henri Gerber,Germany,1149
Chris Mills,United Kingdom,1149
Pavel Mesyatsev,Russia,1147
Kai Roff,United Kingdom,1147
Aleksander Arefiew,Poland,1146
Mark Bennis,Netherlands,1146
Anthony Lafourcade,France,1145
Davide Arnesano,Italy,1144
Benjamin Warry,Australia,1143
Zhida Li (李知达),China,1142
Jakob Gunnarsson,Sweden,1142
Adam Narbutas Jørgensen,Denmark,1140
Amy Smith,Australia,1137
Dmitry Gundin,Russia,1137
Daniël Kassab,Netherlands,1136
Marcus Kamen,USA,1136
Izan Cantero Herrera,Spain,1136
Minghan Li (李明瀚),China,1134
Boyuan Yang (杨博渊),China,1133
Urho Kinnunen,Finland,1132
Michael Nielsen,USA,1130
Mateusz Gil,Poland,1129
Thomas Smith,Australia,1129
Kerry Creech,USA,1129
Piotr Olszewski,Poland,1126
Feliks Zemdegs,Australia,1126
Lianghui Li (李亮辉),China,1125
Joel Cetra,Germany,1125
Alvaro Haidar Ersha,Indonesia,1124
Ethan Stevens,Australia,1123
Magnus Søndergaard Byrne,Denmark,1122
Tripp Peters,USA,1121
Ilya Nazarov,Russia,1120
Nikita Slavinski,Estonia,1119
Elijah Brown,USA,1117
Nachuan Sun (孙纳川),China,1117
Piotr Tokarski,Poland,1117
Matthias Schegers,Belgium,1115
Alexander Tosting,Sweden,1114
Anatole Volongo,France,1111
Malte Ihlefeld,Germany,1111
Ianis Costin Chele,Romania,1111
Alan Siburian,Australia,1110
Paul Mahvi,USA,1107
Jami Viljanen,Finland,1106
Alexander Vujcich,New Zealand,1105
Yi Wang (王旖),China,1105
Bryan Frank,Indonesia,1104
Edward Burgess,United Kingdom,1104
Qiyu Zhang (张淇奥),China,1103
Alexander Botz,Germany,1103
Ramses Amaya,Colombia,1101
Harsha Paladugu,USA,1101
Maciek Skowroński,Poland,1101
Finn van der Maas,Netherlands,1100
Rafał Sądek,Poland,1100
David Pearce,Australia,1099
Max Siauw,USA,1099
Simon Kellum,USA,1099
Callum Hales-Jepp,United Kingdom,1098
Tomáš Nguyen,Vietnam,1098
Yinghao Wang (王鹰豪),China,1098
Stian Nystad Østli,Norway,1098
Alessandro Nicolì,Italy,1098
Jiate Xie (谢佳特),China,1097
Timothé Ringeard,France,1096
Harry Savage,United Kingdom,1095
Tom Stanton-Barnett,New Zealand,1093
Julian Höfler,Germany,1093
Xinyun Chen (陈新运),China,1093
Nikhil Soares,India,1093
Phoenix Patterson,Australia,1092
Daniël Veldman,Netherlands,1090
Linus Kunath,Germany,1090
Toni Beljo,Croatia,1090
Grzegorz Chudzik,Poland,1089
Yi-Ho Hsueh (薛以和),Taiwan,1089
Joshua Bergstein,Germany,1089
Bence Barát,Hungary,1089
Tobias Peter,Switzerland,1089
Myles Jarman,Australia,1088
Benjamin Walker,Australia,1087
Lianhao Zhu (褚连皓),China,1087
Adam Marcellus Kelly,USA,1087
Carter Kucala,USA,1086
Dominik Beese,Germany,1086
Brayden Wroten,USA,1086
Ezra Shere,USA,1084
Sameer Aggarwal,USA,1083
Fabio Schwandt,United Kingdom,1083
Andrey Che,Russia,1083
Ryan Pilat,USA,1083
James Hocevar,Canada,1082
Leo Millar,Australia,1082
Timo Norrkniivilä,Finland,1081
Jaxon Foster,Australia,1081
Remo Pihel,Estonia,1081
Waldemar Sundin,Sweden,1081
Siddharth Subbaiyan Sankara,Australia,1080
Jan Bentlage,Germany,1080
Jakub Majchrzak,Poland,1080
Fanny Pousset,France,1079
Mikołaj Tyra,Poland,1079
Oliver Castledine,United Kingdom,1079
Junlin Li (李俊霖),China,1078
Wenrui Qian (钱文睿),China,1078
Jonas Pilhöfer,Germany,1077
Oscar Roth Andersen,Denmark,1077
Lev Golub (Лев Голуб),Ukraine,1077
Noé Bourdon,France,1077
Samir Homsi,Turkey,1076
Vladimir Semidyanov,Russia,1075
Grzegorz Makuch,Poland,1074
Vladimir Vasiliev (Владимир Васильев),Russia,1074
Ziran An (安子然),China,1073
Sébastien Auroux,Germany,1073
Przemysław Rogalski,Poland,1073
Cameron Jones,United Kingdom,1072
Adrien Auvray Matyn,New Zealand,1072
Jiaming Zhang (张嘉铭),China,1071
Bryan Eng,Australia,1071
Dmitry Matthew Yaquinto,Russia,1070
Wout Plaum,Belgium,1070
Mateusz Szwugier,Poland,1069
Andres Rodriguez,USA,1069
Narhean Ravichandira,Australia,1069
Nicos Ahlgrimm,Germany,1069
He-Ping Zheng (鄭和平),Taiwan,1068
Haibo Sui (隋海波),China,1068
Gustav Wälivaara,Sweden,1068
Cezary Mach,Poland,1068
Ben Kirby,New Zealand,1067
Yining Yao (姚祎宁),China,1066
Niclas Mach,Germany,1066
Suhang Li (李苏航),China,1065
Nicholas Paul,Australia,1065
Daniel Goodman,USA,1065
David Epstein,Australia,1064
Nathan Barbre,USA,1064
Saransh Grover,India,1064
Tyler Howlett,USA,1064
Aneurin Hunt,New Zealand,1064
Juan David Carmona Vásquez,Colombia,1064
Zak Kenny,Australia,1063
Timothy Castle,USA,1063
Michał Mlostek,Poland,1063
Matthew Cook,Australia,1063
Danila Balytsok,Australia,1062
Jayden McNeill,Australia,1062
Robert Alden,United Kingdom,1061
Mohammed Aiman Koli,India,1060
Elias Malomgré,Belgium,1060
Theresa L. Biermann,Germany,1059
Jonas Fong,Australia,1059
Amy Eguchi-Fergusson,Australia,1059
Jonathan O'Neill,Australia,1058
Yichen Jiang (姜一辰),China,1058
Leeah Gard-Spaulding,Australia,1058
Dylan Cossin,USA,1058
Diego Durandet,France,1058
Joel Harrop,Australia,1057
Nathan Nairn,Australia,1057
Bartosz Miduch,Poland,1057
Litao Hao (郝立涛),China,1056
Kaiden Ziegler,New Zealand,1056
Jacob Hewell,Australia,1056
Ethan Erez,Canada,1056
Aaron Huynh,USA,1055
Clément Cherblanc,France,1055
Songtao Zhang (张松涛),China,1055
Sophia Schmoll,Germany,1054
Leo Lindqvist,Sweden,1054
Philipp Senser,Switzerland,1054
Sebastiano Benato,Uruguay,1054
Joey Saia,USA,1053
Héctor Haro Guerrero,Spain,1053
Pedro Giuseppe Garcia Milla,Peru,1052
Ciarán Beahan,Ireland,1052
Enhao Zhang (张恩浩),China,1052
Paxton Bennison,Australia,1052
Vojtěch Kundera,Czech Republic,1052
Helmer Ewert,Sweden,1052
Charlie van Ooran,Australia,1051
Ho Hsieh (謝合),Taiwan,1051
Zhiyi Lin (林之逸),China,1051
Kui-En Chiu (邱奎恩),Taiwan,1050
Victor Wijsman,France,1050
Wong Kin Lok (黃健樂),Hong Kong,1049
Jonathan Brugge,Netherlands,1048
Ekaterina Kaneva,Russia,1047
Iurii Chesnokov (Юрий Чесноков),Russia,1047
Herman Westerlund Kalland,Norway,1047
Sam Shaw,United Kingdom,1047
Yunhan Yao (姚云瀚),China,1047
Jinseo Hong,Korea,1047
Ataberk Şencan,Turkey,1046
Simon Jansson,Sweden,1045
Jacob Kotai,Canada,1045
Ray Zhang (张灏睿),Australia,1045
Oliver Sherlock,Poland,1044
Baden Forster,Australia,1044
Diego Moy,Canada,1044
Jakub Tkaczyk,Poland,1044
Jaivardhan Bhatia,Australia,1043
River Fletcher,Australia,1043
Yannick Richter,Germany,1042
Andrew Tan Jing Bang,Singapore,1042
Mikołaj Zubowicz,Poland,1042
Kacper Paweł Dworak,Poland,1042
Ruben Fino,Australia,1041
Oleksandr Savchenko (Олександр Савченко),Ukraine,1041
Steven Wintringham,USA,1040
Charlie Cannon,Australia,1040
Luke Burong,Australia,1039
Daniel Grabski,Austria,1039
Abdelhak Kaddour,France,1039
Adam Jagła,Poland,1039
Ahmet Çınar Ablak,Turkey,1039
Luke Garrett,USA,1038
Grigoriy Barashkin,Russia,1038
Diego Fraile,France,1038
Roman Shilov (Роман Шилов),Russia,1038
Naman Jethani,India,1038
Lingkun Jiang (姜凌坤),China,1038
Willi Mickein,Germany,1037
Oleksandr Seniuk (Олександр Сенюк),Ukraine,1037
Joel Lundström,Sweden,1037
Zishuo Zhang (张子硕),China,1036
Zayd Chaudhry,Australia,1036
Sebastian Williams,United Kingdom,1036
Jun Hu (胡骏),China,1036
Muhammad Razin Bin Roslan,Malaysia,1036
Chris Van Der Brink,USA,1036
Jensen Belen-Brown,Canada,1035
Dylan Baumbach,USA,1035
Andy Gong,Australia,1035
Micah Navarro,Australia,1034
Sebastian Outh-Aut,Australia,1034
Drew Brads,USA,1034
Edward Rust,Australia,1034
Magnus Patrick Kanstrup,Denmark,1034
John Gaynor,USA,1034
Matej Marković,Croatia,1033
Yihao Zhao (赵羿皓),China,1033
Xinjie Shi (施鑫杰),China,1032
Milo Black,USA,1032
Szymon Brzana,Poland,1032
Xulang Li (黎旭朗),China,1032
Daniel Fraser,New Zealand,1032
Cheng-Hsien Wu (吳政憲),Taiwan,1031
Alexander Bashutkin,Russia,1031
Leo Min-Bedford,Canada,1031
Aidan Ung,Australia,1031
John Bacouël,France,1030
Simon Kalhofer,Germany,1029
Kevin Gerhardt,Germany,1029
Can Ersoy,Turkey,1029
Yichen Sun (孙艺晨),China,1029
Jinxin Li (李金鑫),China,1029
Danil Kotenkov (Данил Котенков),Russia,1028
Greg Leonard,Belgium,1028
Liam Highducheck,Australia,1028
Aston Culf,Australia,1028
Zachary Ochs,USA,1028
Benjamin Gottschalk,USA,1028
Shrijan Pal,India,1028
Alejandro Isaza,Colombia,1027
Yuze Gu (顾雨泽),China,1027
Joash Little,Australia,1027
Leonid Shcherbakov (Леонид Щербаков),Russia,1027
Andre Nguyen,Australia,1027
Vincent Hartanto Utomo,Indonesia,1027
Matvei Tianutov (Матвей Тянутов),Russia,1027
Aiden Bartlett,USA,1026
Jacob Chambers,United Kingdom,1026
Siddharth Manchkanti,USA,1025
Bálint Csengő,Hungary,1025
Witold Sołtysik,Poland,1025
Aleksandr Beznogov,Russia,1025
Zac Graham,Australia,1024
Ryan Wu,Canada,1024
Amos Nordman,Finland,1024
Antoine Cantin,Canada,1024
Tieske Heemskerk,Netherlands,1024
Herbie Miles,Australia,1024
Jihoon Park,Australia,1023
Gijs Peletier,Netherlands,1023
Piotr Kogut,Poland,1023
Lorenzo Mauro,Italy,1023
Trần Đăng Quang,Vietnam,1023
Ethan Pride,Australia,1023
Linus Buck,Germany,1022
Jack Cai,Australia,1022
Ronnie Jinxuan Zhu (朱缙轩),China,1021
Kenneth Tran,Norway,1021
Yiyang Chen (陈熠扬),China,1021
Gabriel Rejdych,Poland,1021
Luke Van Laningham,USA,1021
Arnau Tous Mateu,Spain,1021
Joe Labas,Australia,1020
Bartłomiej Krokos,Poland,1020
Laura Holzhauer,Germany,1020
Akın Köse,Turkey,1019
Maciej Jabłoński,Poland,1019
Dominic Heising,USA,1019
Yuxuan Huang (黄宇轩),China,1019
AJ Kamal,USA,1019
Daniel Sheppard,United Kingdom,1019
Richard Yiheng Tao,New Zealand,1018
Yichen Ma (马奕宸),China,1018
Muhammad Dipa Budiono,Indonesia,1018
Jose Ortiz Jr.,USA,1018
Alejandro Restrepo Echeverri,Colombia,1018
Zhe Wang (汪哲),China,1018
Niklas Aasen Eliasson,Norway,1018
Joe Davis,Australia,1017
Tyler Johnson,USA,1017
Adrien Neveu,France,1017
Danylo Harbar (Данило Гарбар),Ukraine,1017
Max Walaszek,USA,1017
Aaron Paskow,USA,1016
Sarina Wang,New Zealand,1016
Ziyu Wu (吴子钰),China,1016
Jakub Grzybowski,Poland,1015
Myles Segal,Australia,1015
Luke McEwen,Australia,1015
Yuxuan Wu (吴雨轩),China,1014
Ilya Beylin (Илья Бейлин),Russia,1014
Max Bradley-McFawn,Australia,1014
Jiyi Wang (王吉怡),China,1014
Malte Oliver Bøgh Kjøller,Denmark,1014
Andrés Rodríguez Galán,Spain,1013
Emil Diring,Germany,1012
Ilya Sokolov,Russia,1012
Erik Akkersdijk,Netherlands,1012
Louis-Marie Ratto,France,1012
Marcus Siu,United Kingdom,1011
Yifan Wang (王逸帆),China,1011
Mitchell Kinsman,Australia,1011
Jan van Dorst,Netherlands,1011
Jack Stewart,USA,1011
Aayush Shah,India,1011
Kacper Jędrzejuk,Poland,1011
Jules Desjardin,France,1011
Shao-Heng Hung (洪紹恆),Taiwan,1010
Karol Zakrzewski,Poland,1010
Lincheng Cai (蔡林成),China,1010
Chan Hui Tung (陳許瞳),Hong Kong,1010
Tobiasz Rychlik,Poland,1010
Josephine Siburian,Australia,1010
Nguyễn Khang Minh,Vietnam,1010
Ben Stokes,United Kingdom,1009
Oliver Pällo,Estonia,1009
Tyler Williams,Australia,1009
Theodor Nordstrand,Sweden,1009
Patricia Kubasek,Poland,1008
Dylan Chan,USA,1008
Orkun Efe Dahar,Turkey,1008
Taj Greenough,Australia,1008
Dominic Lumsden,United Kingdom,1008
Shang Liu (刘尚),China,1008
Liam Wadek,New Zealand,1007
Markuss Pietkuns,Latvia,1007
Ryan S. Keogh,New Zealand,1007
Krish Shah-Nathwani,USA,1007
Mykhailo Akhunov (Михайло Ахунов),Ukraine,1007
Kyle Van Straaten,Canada,1006
Gil Kochbeck,Germany,1006
Alevio Hamizan Ersha,Indonesia,1006
Taine Cassar,Australia,1006
Mengni Yan (颜梦妮),China,1006
Alex Hirschhorn,Australia,1006
Valerio Locatelli,Italy,1006
Patrick Kleverlaan,Australia,1005
Cristóbal Opazo Bravo,Chile,1005
Benjamin Shurmer,Australia,1005
Donna Cook,Australia,1005
Maxim Brednev (Максим Бреднев),Russia,1005
Francisco Hamlin,Argentina,1005
Yang Liu (刘洋),China,1004
Michael Alexander,Australia,1004
Zhuoyang Li (李卓阳),China,1004
Dawid Wójcik,Poland,1004
Oscar Watson,Australia,1003
Maheran Chowdhury,Australia,1003
Coleman Vaughn,USA,1003
Henry Lichner,USA,1003
Li-Zhi Findhammer,Netherlands,1003
Jacob Eoin Gipp,Canada,1003
Tucker Chamberlain,USA,1003
Ella Krohn,Australia,1003
Peter Hibl,USA,1003
Aidan Cerenzie,USA,1003
Qinxi Wei (韦钦曦),China,1002
Levi Eyou,New Zealand,1002
Muhammad Faeyza Koda,Indonesia,1002
Alexis Fedeler,Germany,1002
Kyle Polage,USA,1002
Oliver Leigh,Australia,1001
Mingxuan Wu (吴明轩),China,1001
Chenhao Ma (马晨皓),China,1001
Kyson Lovery,Australia,1001
Naren Ramesh,India,1000
Illia Honcharuk (Ілля Гончарук),Ukraine,1000
Kim Roger Høyland Larsen,Norway,1000
Gunnar Ivarsson,Sweden,1000
Chengyang Du (杜成洋),China,1000
Kevin Min,Korea,1000
Jieying Feng (冯洁莹),China,1000
Justin Chang,China,1000
Cameron Miller,USA,1000
Sicheng Gu (顾思成),China,999
Samuel Tie,Australia,999
Kabir Johal,Canada,999
Liam Pipia,Australia,999
Shuaihao Chen (陈帅豪),China,999
Jie Wang (王杰),China,999
Benjamin Lilleøen Bakken,Norway,999
Yulun Wu (吴宇伦),China,998
Gert-Jan Broere,Netherlands,998
Xavier Evans,New Zealand,998
Lennon Hughes,Australia,998
Aedan Loughran,Canada,998
Daxton Westlake,USA,998
Wilhelm Kilders,Germany,998
Muhammed Pusat Özçelik,Turkey,998
Tommy Cherry,USA,997
Veenayak Bhola,India,996
Ricardo Zapata Cruz,Venezuela,996
Isaac Latta,New Zealand,996
Kaiyang Gao (高凯阳),China,996
Rustin Haderlie,USA,996
Yizhou Wang (王翼洲),China,996
Caleb Kinman,USA,996
Leonardo José Hilario Cori,Peru,996
Suen Ming Chi (孫銘志),Hong Kong,995
